name,address,zip_code,price_raw,bedrooms_raw,url,price,bedrooms,rent_per_bedroom
Hurry! This beautiful STUDIO apartment won't last long!,334 S. Westlake Ave.,90057,"$1,350",studio,https://losangeles.craigslist.org/lac/apa/d/los-angeles-hurry-this-beautiful-studio/7902670312.html,1350.0,0.0,1350.0
Awesome Value! Below Market Price! Studio Apartments!,334 S. Westlake Ave.,90057,"$1,350",studio,https://losangeles.craigslist.org/lac/apa/d/los-angeles-awesome-value-below-market/7902670097.html,1350.0,0.0,1350.0
Newly Remodeled! New Quartz Kitchen Counter Top!,334 S. Westlake Ave.,90057,"$1,350",,https://losangeles.craigslist.org/lac/apa/d/los-angeles-newly-remodeled-new-quartz/7902669835.html,1350.0,,
"Stadium Seating Movie Theater, In Los Angeles, 3B/3B","325 W. Adams Blvd., Los Angeles, CA",90018,"$4,299",3br,https://losangeles.craigslist.org/lac/apa/d/los-angeles-stadium-seating-movie/7902270634.html,4299.0,3.0,1433.0
Live / Work Loft - Artist Gallery or Studio with 17 ft. TALL Ceilings,"Downtown, Southpark, Staples, L.A. Live",90015,"$3,795",studio,https://losangeles.craigslist.org/lac/apa/d/los-angeles-live-work-loft-artist/7901842751.html,3795.0,0.0,3795.0
1 Bedroom in Downtown LA ^ SS Appliances ^ Live/Work ^ W/D in Unit,Downtown Los Angeles,90015,"$2,895",1br,https://losangeles.craigslist.org/lac/apa/d/los-angeles-bedroom-in-downtown-la-ss/7902669159.html,2895.0,1.0,2895.0
Luxury Studio Near Koreatown ^ SS Appliances ^ Recessed Lights,Close to DTLA + Koreatown,90006,"$1,695",studio,https://losangeles.craigslist.org/lac/apa/d/los-angeles-luxury-studio-near/7902668607.html,1695.0,0.0,1695.0
1 Bedroom 1 BA Close to Downtown LA | Renovated | Four Weeks Free,North Westlake,90057,"$1,595",1br,https://losangeles.craigslist.org/lac/apa/d/los-angeles-bedroom-ba-close-to/7902668505.html,1595.0,1.0,1595.0
W/D in Unit | Contemporary 3 Bedroom in Mid Wilshire | SPECIALS!,Mid Wilshire/Close to Koreatown,90006,"$3,995",3br,https://losangeles.craigslist.org/lac/apa/d/los-angeles-d-in-unit-contemporary/7902668501.html,3995.0,3.0,1331.6666666666667
"Rooftop Fire Pits and Lounge, Floor to Ceiling Windows, Game Room",Koreatown,90006,"$3,197",,https://losangeles.craigslist.org/lac/apa/d/los-angeles-rooftop-fire-pits-and/7902668433.html,3197.0,,
Gorgeous Apartment ~ updated amenities! * Only blocks away from USC! ~,USC,90007,"$5,990",,https://losangeles.craigslist.org/lac/apa/d/los-angeles-gorgeous-apartment-updated/7902668196.html,5990.0,,
Just what you're looking for! 1 Bed / 1 Bath. Come and see!,Los Angeles - Downtown LA,90015,"$2,150",1br,https://losangeles.craigslist.org/lac/apa/d/los-angeles-just-what-youre-looking-for/7900390369.html,2150.0,1.0,2150.0
Pumpkin Spice  Everything Nice-Fall in Love With Your New Home!,Korea Town,90006,"$1,520",,https://losangeles.craigslist.org/lac/apa/d/los-angeles-pumpkin-spice-everything/7902667469.html,1520.0,,
Don't miss out! * Charming 1B/1B Apartment * Affordable price! *,Koreatown,90006,"$1,375",1br,https://losangeles.craigslist.org/lac/apa/d/los-angeles-dont-miss-out-charming-1b/7902667064.html,1375.0,1.0,1375.0
Live / Work Loft - Artist Gallery or Studio with 17 ft. TALL Ceilings,"Downtown, Southpark, Staples, L.A. Live",90015,"$3,795",studio,https://losangeles.craigslist.org/lac/apa/d/los-angeles-live-work-loft-artist/7902255728.html,3795.0,0.0,3795.0
"Views of DTLA*, Resident Lounge, Gated Garage Parking",Koreatown,90006,"$2,444",,https://losangeles.craigslist.org/lac/apa/d/los-angeles-views-of-dtla-resident/7902666119.html,2444.0,,
"LG Washer & Dryer, Floor-to-Ceiling Windows, Outdoor Movie Theater",Koreatown,90006,"$5,349",,https://losangeles.craigslist.org/lac/apa/d/los-angeles-lg-washer-dryer-floor-to/7902665250.html,5349.0,,
"Air Conditioning, Remodeled, Specials | 1+1 in Koreatown/DTLA",Koreatown,90006,"$2,885",,https://losangeles.craigslist.org/lac/apa/d/los-angeles-air-conditioning-remodeled/7902660238.html,2885.0,,
Penthouse Loft - 2 bd 2 story - Private Patio with FANTASTIC VIEWS,"Downtown, Southpark, Staples, L.A. Live",90015,"$4,595",,https://losangeles.craigslist.org/lac/apa/d/los-angeles-penthouse-loft-bd-story/7901385436.html,4595.0,,
Exclusive 1 BR/1 BA Retreat with Fitness On-Demand,Koreatown,90006,"$2,483",1br,https://losangeles.craigslist.org/lac/apa/d/los-angeles-exclusive-br-ba-retreat/7902663582.html,2483.0,1.0,2483.0
"Pet Friendly, Built-In Bookcase, 24 Hour Fitness Center",Downtown LA,90015,"$8,325",,https://losangeles.craigslist.org/lac/apa/d/los-angeles-pet-friendly-built-in/7902663087.html,8325.0,,
Trojan Territory: Where Dreams Become Reality at Tuscany!,University Park,90007,"$2,418",,https://losangeles.craigslist.org/lac/apa/d/los-angeles-trojan-territory-where/7902659806.html,2418.0,,
Catalina Apartments...Newly Remodeled Bachelor...Low income unit!,Mid-Wilshire and Koreatown,90006,"$1,195",,https://losangeles.craigslist.org/lac/apa/d/los-angeles-catalina-apartmentsnewly/7897356807.html,1195.0,,
Catalina Apts..Gorgeous Newly Remodeled Studio...Great Location!,Mid-Wilshire and Koreatown,90006,"$1,395",studio,https://losangeles.craigslist.org/lac/apa/d/los-angeles-catalina-aptsgorgeous-newly/7901908054.html,1395.0,0.0,1395.0
La Madrid Apts...Gorgeous Newly Remodeled Studio...Great Location!,Mid-Wilshire and Koreatown,90006,"$1,395",studio,https://losangeles.craigslist.org/lac/apa/d/los-angeles-la-madrid-aptsgorgeous/7901168940.html,1395.0,0.0,1395.0
We have the perfect 1 bed 1 bath for you and your pets! Tour today!,Los Angeles - DTLA,90015,"$2,100",1br,https://losangeles.craigslist.org/lac/apa/d/los-angeles-we-have-the-perfect-bed/7902049454.html,2100.0,1.0,2100.0
💥COZY - STUDIO APARTMENT KTOWN/DTLA💥,K-TOWN / DTLA,90006,"$1,575",studio,https://losangeles.craigslist.org/lac/apa/d/los-angeles-cozy-studio-apartment-ktown/7901734537.html,1575.0,0.0,1575.0
"Stadium Seating Movie Theater, 3bd 3ba, Los Angeles CA","325 W. Adams Blvd., Los Angeles, CA",90018,"$4,299",,https://losangeles.craigslist.org/lac/apa/d/los-angeles-stadium-seating-movie/7902260180.html,4299.0,,
"4 Saunas and Steam Rooms, 3/bd 3/ba, In Los Angeles","325 W. Adams Blvd., Los Angeles, CA",90018,"$4,299",,https://losangeles.craigslist.org/lac/apa/d/los-angeles-saunas-and-steam-rooms-bd/7902654662.html,4299.0,,
HUGE 3 BEDROOM / 2.5 BATH FOR ONLY $3950.00!,WESTERN& ADAMS,90018,"$3,950",3br,https://losangeles.craigslist.org/lac/apa/d/los-angeles-huge-bedroom-25-bath-for/7897502061.html,3950.0,3.0,1316.6666666666667
3 BD close by USC,"325 W. Adams Blvd., Los Angeles, CA",90018,"$4,299",,https://losangeles.craigslist.org/lac/apa/d/los-angeles-bd-close-by-usc/7901793697.html,4299.0,,
"Pet-Friendly, Central A/C, 2 Bedroom 2 BA in Koreatown, Lease Today!",Los Angeles / Koreatown,90006,"$2,338",2br,https://losangeles.craigslist.org/lac/apa/d/los-angeles-pet-friendly-central-c/7902650091.html,2338.0,2.0,1169.0
K-Town/Near DTLA 1 Bedroom with SS Appliances + Balcony + Brand New,Close to DTLA + Koreatown,90006,"$1,867",1br,https://losangeles.craigslist.org/lac/apa/d/los-angeles-town-near-dtla-bedroom-with/7902648876.html,1867.0,1.0,1867.0
"Outdoor Barbecue Grills, Theater, Floor to Ceiling Windows",Koreatown,90006,"$3,826",,https://losangeles.craigslist.org/lac/apa/d/los-angeles-outdoor-barbecue-grills/7902648130.html,3826.0,,
"3/bd, 4 Saunas and Steam Rooms, Los Angeles CA","325 W. Adams Blvd., Los Angeles, CA",90018,"$4,299",,https://losangeles.craigslist.org/lac/apa/d/los-angeles-bd-saunas-and-steam-rooms/7902251916.html,4299.0,,
"Roof Top Dog Park, Outdoor Barbeque, Saltwater Pool & Cabanas",Downtown Los Angeles,90015,"$3,735",,https://losangeles.craigslist.org/lac/apa/d/los-angeles-roof-top-dog-park-outdoor/7902647759.html,3735.0,,
"Korean Sauna, Rooftop Terrance, KBBQ Grills",Koreatown,90006,"$2,808",,https://losangeles.craigslist.org/lac/apa/d/los-angeles-korean-sauna-rooftop/7902647013.html,2808.0,,
Rent a great Studio!,Los Angeles - Downtown LA,90015,"$1,900",studio,https://losangeles.craigslist.org/lac/apa/d/los-angeles-rent-great-studio/7901257601.html,1900.0,0.0,1900.0
"Chic urban living at City Lights on Fig! 2 bed, 2 bath available!",Los Angeles - DTLA,90015,"$2,955",2br,https://losangeles.craigslist.org/lac/apa/d/los-angeles-chic-urban-living-at-city/7902182228.html,2955.0,2.0,1477.5
HUGE 3 BEDROOM / 2.5 BATH FOR ONLY $3950.00!,WESTERN& ADAMS,90018,"$3,950",3br,https://losangeles.craigslist.org/lac/apa/d/los-angeles-huge-bedroom-25-bath-for/7899944050.html,3950.0,3.0,1316.6666666666667
"Patio/Balcony - select units, Window Coverings",Koreatown,90006,"$2,849",,https://losangeles.craigslist.org/wst/apa/d/los-angeles-patio-balcony-select-units/7902643360.html,2849.0,,
"Nice STUDIO in Downtown LA, APT w/ PARKING & Private Balcony!",Wilshire LA,90005,"$1,350",studio,https://losangeles.craigslist.org/lac/apa/d/los-angeles-nice-studio-in-downtown-la/7896276112.html,1350.0,0.0,1350.0
"in Los Angeles CA, 4 Saunas and Steam Rooms, 2/BD","325 W. Adams Blvd., Los Angeles, CA",90018,"$3,299",,https://losangeles.craigslist.org/lac/apa/d/los-angeles-in-los-angeles-ca-saunas/7902641413.html,3299.0,,
"Contact us Today, Lease Today",Koreatown,90006,"$1,595",,https://losangeles.craigslist.org/lac/apa/d/los-angeles-contact-us-today-lease-today/7902631692.html,1595.0,,
"Dog Park with Pet Lounge and Grooming Stations, Refrigerator, Theater",Koreatown,90006,"$4,497",,https://losangeles.craigslist.org/lac/apa/d/los-angeles-dog-park-with-pet-lounge/7902638677.html,4497.0,,
"On-Site Management, Ceiling Fan, Internet Cafe, Short Term Lease",Downtown LA,90015,"$4,270",,https://losangeles.craigslist.org/lac/apa/d/los-angeles-on-site-management-ceiling/7902638483.html,4270.0,,
"Spa, Microwave, Stainless Steel Appliances, Saltwater Pool & Cabanas",Downtown Los Angeles,90015,"$2,599",,https://losangeles.craigslist.org/lac/apa/d/los-angeles-spa-microwave-stainless/7902638170.html,2599.0,,
Ready to Move? Looking for Your New Home at Virgil,Korea Town,90006,"$1,520",,https://losangeles.craigslist.org/lac/apa/d/los-angeles-ready-to-move-looking-for/7902637284.html,1520.0,,
"Expansive Balconies/Patios, Outdoor Pool and Spa, Resident Game Room",Koreatown,90006,"$3,038",,https://losangeles.craigslist.org/lac/apa/d/los-angeles-expansive-balconies-patios/7902635061.html,3038.0,,
"Ecobee SmartHome Thermostats, Keyless Entry System",Koreatown,90006,"$2,147",,https://losangeles.craigslist.org/lac/apa/d/los-angeles-ecobee-smarthome/7902633800.html,2147.0,,
"Dishwasher, Individual work spaces for privacy, Microwave",University Park,90007,"$2,418",,https://losangeles.craigslist.org/lac/apa/d/los-angeles-dishwasher-individual-work/7902633610.html,2418.0,,
Find Your Peace: 1 BR/1 BA with Yoga and Move Space,Koreatown,90006,"$2,443",1br,https://losangeles.craigslist.org/lac/apa/d/los-angeles-find-your-peace-br-ba-with/7902633556.html,2443.0,1.0,2443.0
2 Bed / 2 Bath. Convenient in-home washer and dryer included.,Los Angeles - DTLA,90015,"$2,955",2br,https://losangeles.craigslist.org/lac/apa/d/los-angeles-bed-bath-convenient-in-home/7900867838.html,2955.0,2.0,1477.5
3BD 3BA near DTLA,"325 W. Adams Blvd.  , Los Angeles, CA",90018,"$4,299",,https://losangeles.craigslist.org/lac/apa/d/los-angeles-3bd-3ba-near-dtla/7900433302.html,4299.0,,
Renovated Studio Unit - MOVE IN READY!,Koreatown,90006,"$1,450",studio,https://losangeles.craigslist.org/lac/apa/d/los-angeles-renovated-studio-unit-move/7902629011.html,1450.0,0.0,1450.0
Recently renovated luxury Townhome ~ Dual master suites! CALL NOW!,USC,90007,"$3,395",,https://losangeles.craigslist.org/lac/apa/d/los-angeles-recently-renovated-luxury/7902627273.html,3395.0,,
"Den, Rooftop Walking Path",Koreatown,90006,"$3,302",,https://losangeles.craigslist.org/lac/apa/d/los-angeles-den-rooftop-walking-path/7902623856.html,3302.0,,
"24 Hour Access, Microwave, Freezer, Vintage Building",Korea Town,90006,"$1,520",,https://losangeles.craigslist.org/lac/apa/d/los-angeles-24-hour-access-microwave/7902622835.html,1520.0,,
"Great combination of price, size and location! * NEAR USC! * ACT FAST!",USC,90007,"$2,900",,https://losangeles.craigslist.org/lac/apa/d/los-angeles-great-combination-of-price/7902621565.html,2900.0,,
Affordable price! *Beautiful Unit * Outdoor patio area * Close to USC!,USC,90007,"$4,200",,https://losangeles.craigslist.org/lac/apa/d/los-angeles-affordable-price-beautiful/7902621279.html,4200.0,,
"Dry Cleaning Service, Firepit Area, Observation Deck, On-Site Retail",Downtown LA,90015,"$8,326",,https://losangeles.craigslist.org/lac/apa/d/los-angeles-dry-cleaning-service/7902620525.html,8326.0,,
"$1,500 OFF! HUGE Studio w/ Parking, Modern, AC, PETS OK!",KOREATOWN,90006,"$1,550",studio,https://losangeles.craigslist.org/lac/apa/d/los-angeles-1500-off-huge-studio/7902613313.html,1550.0,0.0,1550.0
HUGE 3 BEDROOM / 2.5 BATH FOR ONLY $3950.00!,WESTERN& ADAMS,90018,"$3,950",3br,https://losangeles.craigslist.org/lac/apa/d/los-angeles-huge-bedroom-25-bath-for/7897855095.html,3950.0,3.0,1316.6666666666667
"Located in Los Angeles, 4 Saunas and Steam Rooms, 3 Bed","325 W. Adams Blvd., Los Angeles, CA",90018,"$4,299",3br,https://losangeles.craigslist.org/lac/apa/d/los-angeles-located-in-los-angeles/7902619281.html,4299.0,3.0,1433.0
"Studio Suite in Koreatown, Specials, EV Charging Stations, Remodeled",Koreatown,90006,"$2,050",studio,https://losangeles.craigslist.org/lac/apa/d/los-angeles-studio-suite-in-koreatown/7902610253.html,2050.0,0.0,2050.0
"Asko Washer & Dryer, Fireside Lounge & Hammock Garden",Koreatown,90006,"$2,202",,https://losangeles.craigslist.org/lac/apa/d/los-angeles-asko-washer-dryer-fireside/7902616090.html,2202.0,,
"Movie Theatre, Sauna, Oven, Outdoor Barbeque",Downtown Los Angeles,90015,"$2,606",,https://losangeles.craigslist.org/lac/apa/d/los-angeles-movie-theatre-sauna-oven/7902615560.html,2606.0,,
"Must-see 1 BR/1 BA with Generous Closets, Modern Kitchen",Koreatown,90006,"$2,473",1br,https://losangeles.craigslist.org/lac/apa/d/los-angeles-must-see-br-ba-with/7902615032.html,2473.0,1.0,2473.0
"1 Month Free Rent, 1 Bed + 1 Bath All Renovated /w Parking and Pets OK",KOREATOWN,90006,"$1,795",1br,https://losangeles.craigslist.org/lac/apa/d/los-angeles-month-free-rent-bed-bath/7902613243.html,1795.0,1.0,1795.0
"Live Large, Study Smart: Tuscany Living!",University Park,90007,"$1,918",,https://losangeles.craigslist.org/lac/apa/d/los-angeles-live-large-study-smart/7902612125.html,1918.0,,
"MUST SEE- Huge 1BR+1BA 1000+ SqFt Remodeled, High Ceilings, Gated Bldg",DTLA / KTOWN / LA LIVE,90006,"$1,790",1br,https://losangeles.craigslist.org/lac/apa/d/los-angeles-must-see-huge-1br1ba-1000/7900906633.html,1790.0,1.0,1790.0
"MOVE-IN SPECIAL - 1 MONTH FREE - Top Flr Studio, ALL UTILITIES INCLD",DTLA / KTOWN / LA LIVE,90006,"$1,190",studio,https://losangeles.craigslist.org/lac/apa/d/los-angeles-move-in-special-month-free/7900304299.html,1190.0,0.0,1190.0
BEAUTIFUL VIEW -Renovated Bachelor –Koreatown -MidWilshire!,"Koreatown, Westlake, Pico-Union",90006,"$1,225",,https://losangeles.craigslist.org/lac/apa/d/los-angeles-beautiful-view-renovated/7902595866.html,1225.0,,
Newly Remodeled 1 Bedroom in North Westlake + SPECIALS + SS Appliances,North Westlake,90057,"$1,595",1br,https://losangeles.craigslist.org/lac/apa/d/los-angeles-newly-remodeled-bedroom-in/7898276283.html,1595.0,1.0,1595.0
"Studio in DTLA with SS Appliances, Pet-Friendly, Tanning Deck",DTLA / South Park,90015,"$2,275",studio,https://losangeles.craigslist.org/lac/apa/d/los-angeles-studio-in-dtla-with-ss/7900262925.html,2275.0,0.0,2275.0
Close to K-Town/DTLA Modern Studio ^ Washer/Dryer In Unit ^ Balcony,Close to DTLA + Koreatown,90006,"$1,695",studio,https://losangeles.craigslist.org/lac/apa/d/los-angeles-close-to-town-dtla-modern/7900138636.html,1695.0,0.0,1695.0
* * * * * * * GORGEOUS LOWER CLASSIC DUPLEX * * * * * * *,"Wilshire Center adjacent to Silverlake, Echo Park, Korea Tow",90005,"$3,950",,https://losangeles.craigslist.org/lac/apa/d/los-angeles-gorgeous-lower-classic/7900796502.html,3950.0,,
"If you commute, you'll want to check us out! Near public transport",Los Angeles - Downtown LA,90015,"$3,000",,https://losangeles.craigslist.org/lac/apa/d/los-angeles-if-you-commute-youll-want/7901923922.html,3000.0,,
Stunning Lovely 2 Bedroom Unit **Ready To Move In Now**,Exposition Park,90037,"$1,900",2br,https://losangeles.craigslist.org/lac/apa/d/los-angeles-stunning-lovely-bedroom/7902602408.html,1900.0,2.0,950.0
"Spacious Studio with A/C, Parking, Elevator & Laundry in Bldg",Koreatown,90006,"$1,395",studio,https://losangeles.craigslist.org/lac/apa/d/los-angeles-spacious-studio-with-c/7896503078.html,1395.0,0.0,1395.0
Spacious Studio / Breakfast Nook / Lots of Closet Space,Koreatown,90006,"$1,250",studio,https://losangeles.craigslist.org/lac/apa/d/los-angeles-spacious-studio-breakfast/7897679370.html,1250.0,0.0,1250.0
Spacious / Laundry Hookups / Off Street Parking,Echo Park,90026,"$1,795",,https://losangeles.craigslist.org/lac/apa/d/los-angeles-spacious-laundry-hookups/7900661360.html,1795.0,,
"$1,450 plus FREE RENT! VILLA SHATTO –Koreatown - Mid-Wilshire 90005","Koreatown, Westlake, Pico-Union",90006,"$1,450",,https://losangeles.craigslist.org/lac/apa/d/los-angeles-1450-plus-free-rent-villa/7902594916.html,1450.0,,
Lovely Studio in Downtown LA + Live/Work + SS Appliances + SPECIALS,Downtown Los Angeles,90015,"$2,025",studio,https://losangeles.craigslist.org/lac/apa/d/los-angeles-lovely-studio-in-downtown/7900142813.html,2025.0,0.0,2025.0
"Rooftop Pool with Cabanas and Spa, Window Coverings, Walk-In Closets",Koreatown,90006,"$3,871",,https://losangeles.craigslist.org/lac/apa/d/los-angeles-rooftop-pool-with-cabanas/7902600847.html,3871.0,,
PRIVATE ROOMS BY U.S.C. CAMPUS FROM $1350.00 TO $1600.00,WESTERN& ADAMS,90018,"$1,350",,https://losangeles.craigslist.org/lac/apa/d/los-angeles-private-rooms-by-usc-campus/7897306088.html,1350.0,,
"Stadium Seating Movie Theater, in Los Angeles CA, 1B/1B","325 W. Adams Blvd., Los Angeles, CA",90018,"$2,850",1br,https://losangeles.craigslist.org/lac/apa/d/los-angeles-stadium-seating-movie/7901088752.html,2850.0,1.0,2850.0
FREE RENT! VILLA SHATTO –Koreatown - Mid-Wilshire,"Koreatown, Westlake, Pico-Union",90006,"$1,425",,https://losangeles.craigslist.org/lac/apa/d/los-angeles-free-rent-villa-shatto/7902590960.html,1425.0,,
Arwyn Manor Apts...NY Style...Gorgeous Newly Remodeled Studio!,Mid-Wilshire and Koreatown,90006,"$1,475",studio,https://losangeles.craigslist.org/lac/apa/d/los-angeles-arwyn-manor-aptsny/7901328299.html,1475.0,0.0,1475.0
St. Andrews Apts.Charming Studio.1920's Classic Brick.Newly Remodeled,Mid-Wilshire and Koreatown,90006,"$1,425",studio,https://losangeles.craigslist.org/lac/apa/d/los-angeles-st-andrews-aptscharming/7901282014.html,1425.0,0.0,1425.0
1 Bedroom with Parking,"Koreatown, Wilshire Square",90006,"$1,845",1br,https://losangeles.craigslist.org/lac/apa/d/los-angeles-bedroom-with-parking/7900927590.html,1845.0,1.0,1845.0
Lovely Studio Available,Koreatown,90006,"$1,445",studio,https://losangeles.craigslist.org/lac/apa/d/los-angeles-lovely-studio-available/7900542118.html,1445.0,0.0,1445.0
Spacious Studio with Parking,Koreatown,90006,"$1,495",studio,https://losangeles.craigslist.org/lac/apa/d/los-angeles-spacious-studio-with-parking/7900067764.html,1495.0,0.0,1495.0
Spacious Studio with Parking,Koreatown,90006,"$1,495",studio,https://losangeles.craigslist.org/lac/apa/d/los-angeles-spacious-studio-with-parking/7899598632.html,1495.0,0.0,1495.0
2 Bedroom 1 Bath Great Community,"Arlington Heights, Los Angeles",90019,"$2,175",2br,https://losangeles.craigslist.org/lac/apa/d/los-angeles-bedroom-bath-great-community/7902697338.html,2175.0,2.0,1087.5
Single/ one month free on a year lease,"Los Angeles, Westlake",90057,"$1,475",,https://losangeles.craigslist.org/lac/apa/d/los-angeles-single-one-month-free-on/7899951331.html,1475.0,,
"Be at the center of it all: Studio , 710 Sq Ft.",Los Angeles - Downtown LA,90015,"$1,900",studio,https://losangeles.craigslist.org/lac/apa/d/los-angeles-be-at-the-center-of-it-all/7901727874.html,1900.0,0.0,1900.0
